location_desc,location_desc_fr,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,ObjectId
Walkley Road and Russell Road/Hawthorn Road,Chemin Walkley et Chemin Russell/Hawthorn,2008,45.39294866,-75.60758145,374674.7381,5028499.542,Eastbound,1
St. Laurent Boulevard and Belfast Road,Boulevard St. Laurent et Chemin Belfast,2008,45.41183341,-75.63045981,372860.726,5030578.562,Southbound,2
March Road/Eaglson Road and Campeau Drive/417 Westbound Off Ramp,Chemin March/Eaglson et Promenade Campeau/417 Ouest,2008,45.32259424,-75.8871873,352841.6241,5020476.478,Northbound,3
Catherine Street and Kent Street (East Side),Rue Catherine et Rue Kent (Côté Est),2008,45.40878852,-75.69378269,367907.7071,5030188.565,Westbound,4
Baseline Road and Merivale Road,Chemin Baseline et Chemin Merivale,2008,45.36528328,-75.73082093,365054.6989,5025325.524,Westbound,5
Bank Street and Hunt Club Road,Rue Bank et Chemin Hunt Club,2008,45.35363104,-75.64733066,371608.731,5024096.514,Eastbound,6
Catherine Street and O'Connor Street/417 Westbound On Ramp,Rue Catherine et Rue O'Connor/417 Ouest,2008,45.41059369,-75.68946437,368243.7079,5030392.567,Westbound,7
Booth Street and Wellington Street,Rue Booth et Rue Wellington,2009,45.41629602,-75.71467416,366264.257,5031006.688,Eastbound,8
Charlemagne Boulevard/Tompkins Avenue and Tenth Line Road,Boulevard Charlemagne/Avenue Tompkins et Chemin Tenth Line,2008,45.47732608,-75.4974114,383183.9299,5037977.882,Southbound,9
Bank Street and Riverside Drive (North),Rue Bank et Promenade Riverside (Côté Nord),2008,45.38882841,-75.67723452,369225.7159,5027983.546,Westbound,10
Carling Avenue and Island Park Drive,Avenue Carling et Promenade Island Park,2008,45.38919155,-75.72662713,365357.6989,5027985.547,Eastbound,11
King Edward Avenue and St. Patrick Street,Avenue King Edward et Rue St. Patrick,2011,45.43246674,-75.68908746,368248.7041,5032823.589,Southbound,12
Bronson Avenue and Commissioner Street/Slater Street,Avenue Bronson et Rue Commissioner/Rue Slater,2010,45.41572863,-75.70823681,366768.7019,5030948.573,Southbound,13
Albert Street and Booth Street,Rue Albert et Rue Booth,2010,45.41291758,-75.71265182,366426.212,5030632.794,Eastbound,14
Bank Street and Heron Road,Rue Bank et Chemin Heron,2010,45.37857171,-75.66755153,369995.72,5026851.536,Northbound,15
Cyrville Road and Innes Road,Chemin Cyrville et Chemin Innes,2010,45.41648492,-75.60244499,375047.734,5031119.561,Westbound,16
Place D'Orléans Drive/Duford Drive and St. Joseph Boulevard,Promenade Place D'Orléans/Promenade Duford et Boulevard St. Joseph,2010,45.47762664,-75.51259116,381996.7441,5037996.587,Westbound,17
Greenbank Road and Berrigan Drive/Wessex Road,Chemin Greenbank et Promenade Berrigan/Chemin Wessex,2010,45.2749753,-75.74900599,363723.6849,5015276.436,Southbound,18
Holland Avenue and Island Park Drive/NCC Driveway,Avenue Holland et Promenade Island Park/Promenade de la CCN,2010,45.38857382,-75.72576713,365425.7,5027917.547,Southbound,19
Conroy Road and Lorry Greenberg Drive,Chemin Conroy et Promenade Lorry Greenberg,2010,45.36947236,-75.62207744,373568.186,5025878.183,Southbound,20
Aviation Parkway and Ogilvie Road,Promenade Aviation et Chemin Ogilvie,2010,45.42798671,-75.62701694,373110.723,5032376.576,Westbound,21
Elgin Street/Pretoria Bridge and Queen Elizabeth Drive,Rue Elgin/Pont Pretoria et Promenade Queen Elizabeth,2010,45.41131111,-75.68406267,368665.7101,5030476.567,Eastbound,22
Fisher Avenue and Meadowlands Drive,Avenue Fisher et Promenade Meadowlands,2010,45.36263085,-75.71144959,366575.0649,5025045.446,Southbound,23
Smyth Road and Saunderson Drive,Chemin Smyth et Promenade Saunderson,2011,45.40054791,-75.63148873,372793.729,5029323.552,Eastbound,24
Blair Road and Highway 174 Westbound/Gloucester Center,Chemin Blair et Autoroute 174 Quest/Centre de Gloucester,2011,45.43336965,-75.60745592,374634.7279,5032991.577,Eastbound,25
Albert Street and Kent Street,Rue Albert et Rue Kent,2001,45.41902653,-75.70240246,367221.703,5031319.576,Northbound,26
King Edward Avenue and St. Andrew Street,Avenue King Edward et Rue St. Andrew,2012,45.43379539,-75.68991198,368182.703,5032970.591,Northbound,27
Merivale Road and Meadowlands Drive,Chemin Merivale et Promenade Meadowlands,2001,45.35090342,-75.73351715,364858.6981,5023725.511,Northbound,28
Heron Road and Riverside Drive,Chemin Heron et Promenade Riverside,2001,45.37677184,-75.69148988,368122.926,5026632.41,Eastbound,29
Carling Avenue and Richmond Road,Avenue Carling et Chemin Richmond,2001,45.36078523,-75.79226646,360245.6751,5024781.518,Westbound,30
Bronson Avenue and Carling Avenue,Avenue Bronson et Avenue Carling,2001,45.40100097,-75.69965431,367456.7071,5029318.558,Southbound,31
